Year,GDP(in bn. US$ PPP),GDP per capita(in US$ PPP),GDP growth(real),Inflation rate(in Percent),Unemployment (in Percent),Government debt(in % of GDP)
1980,287.3,11739,2.1 %,10.2 %,7.5 %,45.1 %
1981,325.1,13116,3.5 %,12.5 %,7.6 %,46.6 %
1982,334.2,13323,−3.2 %,10.8 %,11.1 %,52.3 %
1983,356.4,14067,2.6 %,5.8 %,12.0 %,57.8 %
1984,390.9,15284,5.9 %,4.3 %,11.4 %,60.9 %
1985,422.5,16369,4.7 %,4.0 %,10.5 %,65.9 %
1986,440.4,16894,2.2 %,4.2 %,9.6 %,70.1 %
1987,470.1,17809,4.1 %,4.4 %,8.8 %,70.5 %
1988,508.1,18994,4.4 %,4.0 %,7.8 %,70.5 %
1989,540.2,19848,2.3 %,7.5 %,5.3 %,71.8 %
1990,561.0,20302,0.2 %,4.8 %,8.2 %,74.5 %
1991,567.3,20271,−2.1 %,5.6 %,10.3 %,81.5 %
1992,585.4,20668,0.9 %,1.5 %,11.2 %,89.2 %
1993,615.2,21473,2.7 %,1.9 %,11.4 %,95.0 %
1994,656.6,22672,4.5 %,0.1 %,10.4 %,97.8 %
1995,688.2,23518,2.7 %,2.2 %,9.5 %,100.4 %
1996,712.1,24081,1.6 %,1.6 %,9.6 %,100.6 %
1997,755.3,25287,4.3 %,1.6 %,9.1 %,95.6 %
1998,793.1,26328,3.9 %,1.0 %,8.3 %,93.6 %
1999,846.8,27885,5.2 %,1.7 %,7.6 %,89.3 %
2000,910.9,29723,5.2 %,2.7 %,6.8 %,80.7 %
2001,948.2,30615,1.8 %,2.5 %,7.2 %,81.8 %
2002,991.7,31676,3.0 %,2.3 %,7.7 %,79.9 %
2003,1029.7,32585,1.8 %,2.7 %,7.6 %,76.2 %
2004,1090.7,34193,3.1 %,1.8 %,7.2 %,72.1 %
2005,1161.8,36080,3.2 %,2.2 %,6.8 %,70.9 %
2006,1229.0,37781,2.6 %,2.0 %,6.3 %,70.1 %
2007,1287.7,39201,2.1 %,2.1 %,6.0 %,66.8 %
2008,1326.1,39944,1.0 %,2.4 %,6.2 %,67.8 %
2009,1296.7,38615,−3.0 %,0.1 %,8.4 %,79.3 %
2010,1353.1,39844,3.1 %,1.8 %,8.0 %,81.1 %
2011,1424.3,41524,3.1 %,3.1 %,7.5 %,81.9 %
2012,1475.9,42537,1.7 %,1.5 %,8.1 %,85.5 %
2013,1536.8,43787,2.3 %,0.9 %,7.1 %,86.2 %
2014,1609.1,45345,2.9 %,1.9 %,6.9 %,85.7 %
2015,1642.8,45884,0.7 %,1.1 %,6.9 %,91.3 %
2016,1678.9,46569,1.1 %,1.4 %,7.0 %,91.8 %
2017,1761.4,48273,3.0 %,2.1 %,6.3 %,90.1 %
2018,1838.3,49690,1.9 %,2.2 %,5.8 %,89.9 %
